live_code,date,start_time,end_time,duration_min,viewer_count,promotion_flag,promotion_text,prod_codes_x,prod_codes_y
LL_061,2024-01-04,20:00:13,21:10:55,70,313625,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,"LP_001,LP_005,LP_003,LP_007,LP_004,LP_002,LP_028,LP_010,LP_009,LP_014,LP_086","LP_001,LP_005,LP_003,LP_007,LP_004,LP_002,LP_028,LP_010,LP_009,LP_014,LP_086"
LL_058,2023-12-05,20:00:11,21:12:00,71,323737,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 3만원,"LP_001,LP_007,LP_002,LP_028,LP_003,LP_004,LP_005,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084","LP_001,LP_007,LP_002,LP_028,LP_003,LP_004,LP_005,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084"
LL_041,2023-11-01,20:00:01,21:11:25,71,431544,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 3만원,"LP_001,LP_007,LP_005,LP_002,LP_003,LP_004,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084","LP_001,LP_007,LP_005,LP_002,LP_003,LP_004,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084"
LL_039,2023-10-18,21:00:14,22:11:20,71,431341,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만,"LP_001,LP_007,LP_005,LP_003,LP_002,LP_012,LP_010,LP_009,LP_014,LP_084","LP_001,LP_007,LP_005,LP_003,LP_002,LP_012,LP_010,LP_009,LP_014,LP_084"
LL_049,2023-09-18,13:00:08,14:10:45,70,302550,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만,"LP_006,LP_001,LP_002,LP_036,LP_005,LP_042,LP_018,LP_003,LP_044,LP_010,LP_012,LP_019,LP_099,LP_009,LP_023,LP_014,LP_021,LP_015,LP_020","LP_006,LP_001,LP_002,LP_036,LP_005,LP_042,LP_018,LP_003,LP_044,LP_010,LP_012,LP_019,LP_099,LP_009,LP_023,LP_014,LP_021,LP_015,LP_020"
LL_022,2023-08-01,11:59:56,13:01:40,61,385372,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만,"LP_001,LP_003,LP_005,LP_002,LP_113,LP_012,LP_019,LP_009,LP_010,LP_023,LP_014,LP_021,LP_015,LP_020,LP_006,LP_042","LP_001,LP_003,LP_005,LP_002,LP_113,LP_012,LP_019,LP_009,LP_010,LP_023,LP_014,LP_021,LP_015,LP_020,LP_006,LP_042"
LL_020,2023-07-03,11:59:58,13:01:39,61,370847,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만,"LP_001,LP_003,LP_005,LP_002,LP_012,LP_019,LP_015,LP_006,LP_023,LP_079,LP_014,LP_010,LP_009,LP_021,LP_020,LP_042","LP_001,LP_003,LP_005,LP_002,LP_012,LP_019,LP_015,LP_006,LP_023,LP_079,LP_014,LP_010,LP_009,LP_021,LP_020,LP_042"
LL_030,2023-05-02,13:00:00,14:01:59,61,286827,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 락토핏 골드 1년치! 증정!,"LP_001,LP_006,LP_002,LP_003,LP_005,LP_012,LP_019,LP_015,LP_042,LP_036,LP_044,LP_018,LP_009,LP_010,LP_021,LP_020,LP_079","LP_001,LP_006,LP_002,LP_003,LP_005,LP_012,LP_019,LP_015,LP_042,LP_036,LP_044,LP_018,LP_009,LP_010,LP_021,LP_020,LP_079"
LL_065,2023-04-24,12:00:01,13:02:34,62,187835,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 아임비타 멀티비타민 바이탈 1박스,"LP_001,LP_006,LP_003,LP_005,LP_009,LP_002,LP_015,LP_021,LP_020,LP_012,LP_019,LP_010,LP_101,LP_079,LP_102,LP_036,LP_042,LP_044,LP_018,LP_103,LP_104","LP_001,LP_006,LP_003,LP_005,LP_009,LP_002,LP_015,LP_021,LP_020,LP_012,LP_019,LP_010,LP_101,LP_079,LP_102,LP_036,LP_042,LP_044,LP_018,LP_103,LP_104"
LL_068,2023-03-21,12:00:00,13:01:37,61,37019,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 락토핏 골드(7통) 1년치,"LP_001,LP_006,LP_003,LP_114,LP_034,LP_115,LP_015,LP_116,LP_117,LP_010,LP_104,LP_103","LP_001,LP_006,LP_003,LP_114,LP_034,LP_115,LP_015,LP_116,LP_117,LP_010,LP_104,LP_103"
LL_025,2023-01-09,11:59:56,13:01:16,61,35218,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 코어틴 단백질 에너지바 1박스,"LP_057,LP_043,LP_003,LP_042,LP_034,LP_044,LP_010,LP_104,LP_018,LP_131,LP_117,LP_116,LP_058,LP_049,LP_055","LP_057,LP_043,LP_003,LP_042,LP_034,LP_044,LP_010,LP_104,LP_018,LP_131,LP_117,LP_116,LP_058,LP_049,LP_055"
LL_066,2022-11-16,11:59:56,13:00:11,60,145533,1,[※1차] 실시간 구매인증 이마트 1만원 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 실시간 구매인증 ⓛ; [※2차] 실시간 구매인증 이마트 1만원 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 실시간 구매인증 이마트 1만원 상품권 ②; [※3차] 실시간 구매인증 BBQ기프티콘 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 실시간 구매인증 BBQ기프티콘 ③,"LP_057,LP_058,LP_049,LP_003,LP_059,LP_060,LP_010,LP_061,LP_055,LP_062,LP_063","LP_057,LP_058,LP_049,LP_003,LP_059,LP_060,LP_010,LP_061,LP_055,LP_062,LP_063"
LL_055,2022-10-13,20:00:02,21:00:44,60,18954,1,"실시간 구매인증 / 실시간 구매인증을 쇼핑라이브 댓글창에 남겨주세요! / 파리바게뜨 5,000원 쿠폰","LP_057,LP_049,LP_058,LP_034,LP_010,LP_055,LP_053,LP_117,LP_116,LP_118,LP_074,LP_062,LP_132","LP_057,LP_049,LP_058,LP_034,LP_010,LP_055,LP_053,LP_117,LP_116,LP_118,LP_074,LP_062,LP_132"
LL_035,2022-09-28,20:00:12,21:01:10,60,57492,1,실시간 채팅 구매인증 / 실시간 구매인증을 쇼핑라이브 댓글창에 남겨주세요! / 신세계상품권 5만원,"LP_055,LP_133,LP_134,LP_135,LP_136,LP_057,LP_049,LP_058,LP_034,LP_010,LP_053","LP_055,LP_133,LP_134,LP_135,LP_136,LP_057,LP_049,LP_058,LP_034,LP_010,LP_053"
LL_029,2022-09-20,21:00:13,22:02:05,61,38042,1,실시간 채팅 구매인증 / 구매인증(주문번호)를 남겨주세요! / 굽네치킨 고추바사삭 기프티콘,"LP_057,LP_034,LP_010,LP_058,LP_049,LP_087,LP_060,LP_059,LP_055,LP_053,LP_056","LP_057,LP_034,LP_010,LP_058,LP_049,LP_087,LP_060,LP_059,LP_055,LP_053,LP_056"
LL_018,2022-09-01,19:58:24,21:03:36,65,117683,1,실시간 채팅 구매인증 / 구매인증(주문번호)를 남겨주세요! / 네이버페이 모바일 1만원 상품권,"LP_057,LP_043,LP_058,LP_055,LP_042,LP_034,LP_044,LP_010,LP_018,LP_074,LP_049,LP_087,LP_053,LP_056,LP_067","LP_057,LP_043,LP_058,LP_055,LP_042,LP_034,LP_044,LP_010,LP_018,LP_074,LP_049,LP_087,LP_053,LP_056,LP_067"
LL_042,2022-08-17,21:00:07,22:01:58,61,16997,1,실시간 구매인증 EVENT / 라이브 방송 시간대 실시간 구매인증을 해주세요! / 배스킨라빈스 패밀리 모바일 기프티콘,"LP_057,LP_058,LP_010,LP_053,LP_034,LP_049,LP_073,LP_074,LP_117,LP_118","LP_057,LP_058,LP_010,LP_053,LP_034,LP_049,LP_073,LP_074,LP_117,LP_118"
LL_004,2022-07-27,20:00:11,21:01:37,61,13867,0,,"LP_117,LP_116,LP_118,LP_060,LP_059,LP_137,LP_057,LP_049,LP_087,LP_034,LP_010","LP_117,LP_116,LP_118,LP_060,LP_059,LP_137,LP_057,LP_049,LP_087,LP_034,LP_010"
LL_067,2022-07-17,20:00:06,21:00:41,60,114941,1,실시간 채팅 구매인증 / 실시간 구매인증을 쇼핑라이브 댓글창에 남겨주세요! / 신세계 모바일상품권 1만원,"LP_057,LP_058,LP_073,LP_075,LP_034,LP_068,LP_049,LP_053,LP_067","LP_057,LP_058,LP_073,LP_075,LP_034,LP_068,LP_049,LP_053,LP_067"
LL_027,2022-06-28,20:00:10,21:35:49,95,7928,0,,"LP_080,LP_072,LP_073,LP_034,LP_067,LP_068,LP_049,LP_120,LP_121,LP_069,LP_122,LP_123,LP_053,LP_054,LP_082,LP_043,LP_124,LP_042,LP_044","LP_080,LP_072,LP_073,LP_034,LP_067,LP_068,LP_049,LP_120,LP_121,LP_069,LP_122,LP_123,LP_053,LP_054,LP_082,LP_043,LP_124,LP_042,LP_044"
LL_054,2022-06-21,20:00:08,21:30:58,90,36293,0,,"LP_067,LP_068,LP_069,LP_044,LP_070,LP_071,LP_057,LP_072,LP_073,LP_034,LP_053,LP_074,LP_055,LP_075","LP_067,LP_068,LP_069,LP_044,LP_070,LP_071,LP_057,LP_072,LP_073,LP_034,LP_053,LP_074,LP_055,LP_075"
LL_032,2022-06-14,20:00:17,21:31:29,91,15075,0,,"LP_080,LP_057,LP_072,LP_073,LP_049,LP_087,LP_034,LP_125,LP_068,LP_126,LP_071,LP_067,LP_070,LP_069,LP_053,LP_054,LP_127,LP_051,LP_128,LP_055,LP_043,LP_042,LP_044,LP_018","LP_080,LP_057,LP_072,LP_073,LP_049,LP_087,LP_034,LP_125,LP_068,LP_126,LP_071,LP_067,LP_070,LP_069,LP_053,LP_054,LP_127,LP_051,LP_128,LP_055,LP_043,LP_042,LP_044,LP_018"
LL_070,2022-05-16,20:00:07,21:31:10,91,33985,0,,"LP_080,LP_061,LP_068,LP_072,LP_049,LP_074,LP_078,LP_056,LP_053,LP_054,LP_043,LP_042,LP_044,LP_018,LP_075,LP_051,LP_081,LP_082,LP_055","LP_080,LP_061,LP_068,LP_072,LP_049,LP_074,LP_078,LP_056,LP_053,LP_054,LP_043,LP_042,LP_044,LP_018,LP_075,LP_051,LP_081,LP_082,LP_055"
LL_057,2022-05-08,20:00:08,21:32:23,92,30637,0,,"LP_080,LP_072,LP_043,LP_061,LP_042,LP_068,LP_044,LP_018,LP_049,LP_056,LP_053,LP_054,LP_074,LP_078,LP_075,LP_051,LP_081,LP_082,LP_055,LP_119","LP_080,LP_072,LP_043,LP_061,LP_042,LP_068,LP_044,LP_018,LP_049,LP_056,LP_053,LP_054,LP_074,LP_078,LP_075,LP_051,LP_081,LP_082,LP_055,LP_119"
LL_063,2022-04-28,20:00:19,21:35:44,95,107694,0,,"LP_057,LP_058,LP_043,LP_034,LP_042,LP_018,LP_076,LP_044,LP_074,LP_053,LP_055,LP_049,LP_056","LP_057,LP_058,LP_043,LP_034,LP_042,LP_018,LP_076,LP_044,LP_074,LP_053,LP_055,LP_049,LP_056"
LL_010,2022-04-14,20:00:08,21:31:11,91,102385,0,,"LP_057,LP_058,LP_034,LP_074,LP_049,LP_043,LP_033,LP_077,LP_078","LP_057,LP_058,LP_034,LP_074,LP_049,LP_043,LP_033,LP_077,LP_078"
LL_011,2022-04-06,20:00:05,21:32:15,92,106669,0,,"LP_057,LP_034,LP_053,LP_074,LP_076,LP_054,LP_049,LP_046,LP_043,LP_042,LP_044,LP_018,LP_056,LP_055,LP_105,LP_092,LP_078,LP_045","LP_057,LP_034,LP_053,LP_074,LP_076,LP_054,LP_049,LP_046,LP_043,LP_042,LP_044,LP_018,LP_056,LP_055,LP_105,LP_092,LP_078,LP_045"
LL_002,2022-03-15,11:00:13,12:31:18,91,230816,0,,"LP_034,LP_076,LP_049,LP_033,LP_077,LP_055,LP_092,LP_074","LP_034,LP_076,LP_049,LP_033,LP_077,LP_055,LP_092,LP_074"
LL_008,2022-03-07,20:00:07,21:34:06,93,238682,0,,"LP_051,LP_049,LP_034,LP_052,LP_053,LP_054,LP_055,LP_043,LP_042,LP_044,LP_056","LP_051,LP_049,LP_034,LP_052,LP_053,LP_054,LP_055,LP_043,LP_042,LP_044,LP_056"
LL_006,2022-02-25,11:00:09,12:31:10,91,11662,0,,"LP_034,LP_052,LP_049,LP_053,LP_054,LP_074,LP_044,LP_042,LP_043","LP_034,LP_052,LP_049,LP_053,LP_054,LP_074,LP_044,LP_042,LP_043"
LL_048,2022-02-16,11:00:07,12:30:56,90,99991,0,,"LP_049,LP_056,LP_034,LP_052,LP_074","LP_049,LP_056,LP_034,LP_052,LP_074"
LL_009,2022-01-22,20:00:09,21:31:20,91,132908,0,,"LP_043,LP_042,LP_034,LP_055,LP_092,LP_018","LP_043,LP_042,LP_034,LP_055,LP_092,LP_018"
LL_046,2022-01-06,20:00:10,21:31:55,91,11067,0,,"LP_034,LP_033,LP_054,LP_043","LP_034,LP_033,LP_054,LP_043"
LL_019,2021-12-27,20:00:08,21:30:30,90,15517,0,,"LP_034,LP_054,LP_033,LP_092,LP_055,LP_042","LP_034,LP_054,LP_033,LP_092,LP_055,LP_042"
LL_015,2021-12-13,20:00:13,21:30:27,90,110987,0,,"LP_051,LP_034","LP_051,LP_034"
LL_013,2021-11-16,20:00:07,21:31:42,91,62049,0,,"LP_033,LP_034","LP_033,LP_034"
LL_073,2021-09-12,20:00:04,21:06:53,66,38272,0,,"LP_043,LP_042,LP_044,LP_018,LP_045,LP_046,LP_047,LP_048,LP_049,LP_050","LP_043,LP_042,LP_044,LP_018,LP_045,LP_046,LP_047,LP_048,LP_049,LP_050"
LL_023,2021-08-19,20:00:53,21:02:20,61,99889,0,,"LP_033,LP_091,LP_129,LP_093,LP_130,LP_049,LP_052,LP_074,LP_078","LP_033,LP_091,LP_129,LP_093,LP_130,LP_049,LP_052,LP_074,LP_078"
LL_033,2021-07-09,20:00:05,21:11:08,71,245337,0,,"LP_091,LP_033,LP_049,LP_093,LP_052,LP_078","LP_091,LP_033,LP_049,LP_093,LP_052,LP_078"
LL_069,2021-04-27,19:59:50,21:01:23,61,13334,0,,"LP_106,LP_043,LP_042,LP_044,LP_045,LP_018,LP_093,LP_049","LP_106,LP_043,LP_042,LP_044,LP_045,LP_018,LP_093,LP_049"
LL_005,2021-02-03,20:00:02,21:00:47,60,32555,0,,"LP_091,LP_042,LP_043,LP_049,LP_018,LP_093,LP_094,LP_052,LP_095,LP_078","LP_091,LP_042,LP_043,LP_049,LP_018,LP_093,LP_094,LP_052,LP_095,LP_078"
LL_043,2020-08-21,20:00:09,21:00:05,59,25519,0,,"LP_087,LP_088,LP_089,LP_090,LP_091,LP_052","LP_087,LP_088,LP_089,LP_090,LP_091,LP_052"
